wheel_index,slip_ratio,angular_velocity,linear_speed,current_brake_torque,current_drive_torque,desired_brake_torque,desired_drive_torque,speed_to_velocity_ratio,excess_drive_torque,slip_deviation
1,0.0033717,55.9848,16.739,0,28.9162,0,29.2493,0.29899186388105586,-0.33310000000000173,-0.0966283
2,0.0033717,55.9848,16.739,0,28.9162,0,29.2493,0.29899186388105586,-0.33310000000000173,-0.0966283
3,0.0033717,55.9848,16.739,0,28.9162,0,29.2493,0.29899186388105586,-0.33310000000000173,-0.0966283
0,0.00341138,55.9979,16.7423,0,29.2491,0,29.5821,0.29898084930004787,-0.33300000000000196,-0.09658862
1,0.00341138,55.9979,16.7423,0,29.2491,0,29.5821,0.29898084930004787,-0.33300000000000196,-0.09658862
2,0.00341138,55.9979,16.7423,0,29.2491,0,29.5821,0.29898084930004787,-0.33300000000000196,-0.09658862
3,0.00341138,55.9979,16.7423,0,29.2491,0,29.5821,0.29898084930004787,-0.33300000000000196,-0.09658862
0,0.00345106,56.0111,16.7455,0,29.582,0,29.9149,0.29896752074200433,-0.33289999999999864,-0.09654894
1,0.00345106,56.0111,16.7455,0,29.582,0,29.9149,0.29896752074200433,-0.33289999999999864,-0.09654894
2,0.00345106,56.0111,16.7455,0,29.582,0,29.9149,0.29896752074200433,-0.33289999999999864,-0.09654894
3,0.00345106,56.0111,16.7455,0,29.582,0,29.9149,0.29896752074200433,-0.33289999999999864,-0.09654894
0,0.00349074,56.0245,16.7489,0,29.9147,0,30.2475,0.29895670110475414,-0.3327999999999989,-0.09650926
1,0.00349074,56.0245,16.7489,0,29.9147,0,30.2475,0.29895670110475414,-0.3327999999999989,-0.09650926
2,0.00349074,56.0245,16.7489,0,29.9147,0,30.2475,0.29895670110475414,-0.3327999999999989,-0.09650926
3,0.00349074,56.0245,16.7489,0,29.9147,0,30.2475,0.29895670110475414,-0.3327999999999989,-0.09650926
0,0.00353041,56.0379,16.7522,0,30.2474,0,30.58,0.29894410213544576,-0.33259999999999934,-0.09646959000000001
1,0.00353041,56.0379,16.7522,0,30.2474,0,30.58,0.29894410213544576,-0.33259999999999934,-0.09646959000000001
2,0.00353041,56.0379,16.7522,0,30.2474,0,30.58,0.29894410213544576,-0.33259999999999934,-0.09646959000000001
3,0.00353041,56.0379,16.7522,0,30.2474,0,30.58,0.29894410213544576,-0.33259999999999934,-0.09646959000000001
0,0.00357009,56.0515,16.7556,0,30.5799,0,30.9124,0.2989322266320754,-0.3325000000000031,-0.09642991000000001
1,0.00357009,56.0515,16.7556,0,30.5799,0,30.9124,0.2989322266320754,-0.3325000000000031,-0.09642991000000001
2,0.00357009,56.0515,16.7556,0,30.5799,0,30.9124,0.2989322266320754,-0.3325000000000031,-0.09642991000000001
3,0.00357009,56.0515,16.7556,0,30.5799,0,30.9124,0.2989322266320754,-0.3325000000000031,-0.09642991000000001
